1 #anatomical sites
5 #samples
25 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	P_0	0	P	0	0	1	1
0	P_0	0	P	1	1	1	1
0	P_0	0	P	2	10	0.305214	0.305214
0	P_0	0	P	3	11	0.254303	0.254303
0	P_0	0	P	4	12	0	0
0	P_0	0	P	5	13	0.305214	0.305214
0	P_0	0	P	6	14	0	0
0	P_0	0	P	7	15	0.254303	0.254303
0	P_0	0	P	8	16	0	0
0	P_0	0	P	9	17	0	0
0	P_0	0	P	10	18	0	0
0	P_0	0	P	11	19	0.305214	0.305214
0	P_0	0	P	12	2	1	1
0	P_0	0	P	13	20	0	0
0	P_0	0	P	14	21	0	0
0	P_0	0	P	15	22	0.305214	0.305214
0	P_0	0	P	16	23	0	0
0	P_0	0	P	17	24	0.305214	0.305214
0	P_0	0	P	18	3	0.745697	0.745697
0	P_0	0	P	19	4	0.254303	0.254303
0	P_0	0	P	20	5	0.305214	0.305214
0	P_0	0	P	21	6	0.440483	0.440483
0	P_0	0	P	22	7	0.305214	0.305214
0	P_0	0	P	23	8	0	0
0	P_0	0	P	24	9	0.440483	0.440483
1	P_1	0	P	0	0	1	1
1	P_1	0	P	1	1	1	1
1	P_1	0	P	2	10	0	0
1	P_1	0	P	3	11	0	0
1	P_1	0	P	4	12	0	0
1	P_1	0	P	5	13	0	0
1	P_1	0	P	6	14	0	0
1	P_1	0	P	7	15	0	0
1	P_1	0	P	8	16	0	0
1	P_1	0	P	9	17	0	0
1	P_1	0	P	10	18	1	1
1	P_1	0	P	11	19	0	0
1	P_1	0	P	12	2	1	1
1	P_1	0	P	13	20	0	0
1	P_1	0	P	14	21	1	1
1	P_1	0	P	15	22	0	0
1	P_1	0	P	16	23	0	0
1	P_1	0	P	17	24	0	0
1	P_1	0	P	18	3	1	1
1	P_1	0	P	19	4	0	0
1	P_1	0	P	20	5	1	1
1	P_1	0	P	21	6	0	0
1	P_1	0	P	22	7	1	1
1	P_1	0	P	23	8	0	0
1	P_1	0	P	24	9	0	0
2	P_2	0	P	0	0	1	1
2	P_2	0	P	1	1	1	1
2	P_2	0	P	2	10	0	0
2	P_2	0	P	3	11	0	0
2	P_2	0	P	4	12	1	1
2	P_2	0	P	5	13	0	0
2	P_2	0	P	6	14	1	1
2	P_2	0	P	7	15	0	0
2	P_2	0	P	8	16	0	0
2	P_2	0	P	9	17	0	0
2	P_2	0	P	10	18	0	0
2	P_2	0	P	11	19	0	0
2	P_2	0	P	12	2	1	1
2	P_2	0	P	13	20	0	0
2	P_2	0	P	14	21	0	0
2	P_2	0	P	15	22	0	0
2	P_2	0	P	16	23	0	0
2	P_2	0	P	17	24	0	0
2	P_2	0	P	18	3	1	1
2	P_2	0	P	19	4	0	0
2	P_2	0	P	20	5	0	0
2	P_2	0	P	21	6	1	1
2	P_2	0	P	22	7	0	0
2	P_2	0	P	23	8	1	1
2	P_2	0	P	24	9	0	0
3	P_3	0	P	0	0	1	1
3	P_3	0	P	1	1	1	1
3	P_3	0	P	2	10	0	0
3	P_3	0	P	3	11	0	0
3	P_3	0	P	4	12	0	0
3	P_3	0	P	5	13	0	0
3	P_3	0	P	6	14	0	0
3	P_3	0	P	7	15	0	0
3	P_3	0	P	8	16	0.348533	0.348533
3	P_3	0	P	9	17	0	0
3	P_3	0	P	10	18	0.372742	0.372742
3	P_3	0	P	11	19	0	0
3	P_3	0	P	12	2	1	1
3	P_3	0	P	13	20	0.278725	0.278725
3	P_3	0	P	14	21	0	0
3	P_3	0	P	15	22	0	0
3	P_3	0	P	16	23	0.066355	0.066355
3	P_3	0	P	17	24	0	0
3	P_3	0	P	18	3	1	1
3	P_3	0	P	19	4	0	0
3	P_3	0	P	20	5	1	1
3	P_3	0	P	21	6	0	0
3	P_3	0	P	22	7	1	1
3	P_3	0	P	23	8	0	0
3	P_3	0	P	24	9	0	0
4	P_4	0	P	0	0	1	1
4	P_4	0	P	1	1	1	1
4	P_4	0	P	2	10	0.841477	0.841477
4	P_4	0	P	3	11	0	0
4	P_4	0	P	4	12	0.158523	0.158523
4	P_4	0	P	5	13	0.841477	0.841477
4	P_4	0	P	6	14	0.158523	0.158523
4	P_4	0	P	7	15	0	0
4	P_4	0	P	8	16	0	0
4	P_4	0	P	9	17	0.158523	0.158523
4	P_4	0	P	10	18	0	0
4	P_4	0	P	11	19	0	0
4	P_4	0	P	12	2	1	1
4	P_4	0	P	13	20	0	0
4	P_4	0	P	14	21	0	0
4	P_4	0	P	15	22	0	0
4	P_4	0	P	16	23	0	0
4	P_4	0	P	17	24	0	0
4	P_4	0	P	18	3	1	1
4	P_4	0	P	19	4	0	0
4	P_4	0	P	20	5	0.841477	0.841477
4	P_4	0	P	21	6	0.158523	0.158523
4	P_4	0	P	22	7	0.841477	0.841477
4	P_4	0	P	23	8	0.158523	0.158523
4	P_4	0	P	24	9	0	0
