1 #anatomical sites
2 #samples
13 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	P_0	0	P	0	0;1;2	1	1
0	P_0	0	P	1	3	1	1
0	P_0	0	P	2	4	1	1
0	P_0	0	P	3	6;7	0.698302	0.698302
0	P_0	0	P	4	10	0.698302	0.698302
0	P_0	0	P	5	24;27	0.698302	0.698302
0	P_0	0	P	6	11;13;14;15	0	0
0	P_0	0	P	7	21	0	0
0	P_0	0	P	8	16	0	0
0	P_0	0	P	9	18;20;23	0	0
0	P_0	0	P	10	5	0	0
0	P_0	0	P	11	19;22;25	0	0
0	P_0	0	P	12	8;9;12;17	0	0
1	P_1	0	P	0	0;1;2	1	1
1	P_1	0	P	1	3	0.967227	0.967227
1	P_1	0	P	2	4	0.792409	0.792409
1	P_1	0	P	3	6;7	0.530805	0.530805
1	P_1	0	P	4	10	0.136268	0.136268
1	P_1	0	P	5	24;27	0	0
1	P_1	0	P	6	11;13;14;15	0.145626	0.145626
1	P_1	0	P	7	21	0.110224	0.110224
1	P_1	0	P	8	16	0.261604	0.261604
1	P_1	0	P	9	18;20;23	0.128062	0.128062
1	P_1	0	P	10	5	0.174818	0.174818
1	P_1	0	P	11	19;22;25	0.0597135	0.0597135
1	P_1	0	P	12	8;9;12;17	0.0327737	0.0327737
